HASC_1,positive,neutral,negative,total_comments,final_sentiment
CN.AH,0,0,0,0,no_data
CN.BJ,0,1,0,1,neutral
CN.CQ,0,0,0,0,no_data
CN.FJ,0,0,0,0,no_data
CN.GS,0,0,0,0,no_data
CN.GD,0,0,0,0,no_data
CN.GX,0,0,2,2,negative
CN.GZ,0,0,0,0,no_data
CN.HA,0,0,0,0,no_data
CN.HB,0,0,0,0,no_data
CN.HL,0,0,0,0,no_data
CN.HE,0,0,1,1,negative
CN.HU,1,0,0,1,positive
CN.HN,0,0,0,0,no_data
CN.JS,0,1,0,1,neutral
CN.JX,0,0,0,0,no_data
CN.JL,0,0,0,0,no_data
CN.LN,0,0,0,0,no_data
CN.NM,0,0,0,0,no_data
CN.NX,0,0,0,0,no_data
CN.QH,0,0,0,0,no_data
CN.SA,0,0,0,0,no_data
CN.SD,1,2,0,3,neutral
CN.SH,0,0,0,0,no_data
CN.SX,0,0,0,0,no_data
CN.SC,0,0,0,0,no_data
CN.TJ,0,0,0,0,no_data
CN.XJ,0,0,0,0,no_data
CN.XZ,0,0,0,0,no_data
CN.YN,0,0,0,0,no_data
CN.ZJ,0,0,1,1,negative
