HASC_1,positive,neutral,negative,total_comments,final_sentiment
CN.AH,748,588,733,2069,positive
CN.BJ,411,468,530,1409,negative
CN.CQ,2241,624,643,3508,positive
CN.FJ,487,408,738,1633,negative
CN.GS,238,160,171,569,positive
CN.GD,2935,2744,4507,10186,negative
CN.GX,618,779,1007,2404,negative
CN.GZ,283,242,429,954,negative
CN.HA,200,205,390,795,negative
CN.HB,1086,738,951,2775,positive
CN.HL,315,169,177,661,positive
CN.HE,1803,1563,2019,5385,negative
CN.HU,460,565,828,1853,negative
CN.HN,554,528,697,1779,negative
CN.JS,1419,1277,1722,4418,negative
CN.JX,347,372,499,1218,negative
CN.JL,267,221,220,708,positive
CN.LN,544,411,501,1456,positive
CN.NM,269,189,187,645,positive
CN.NX,49,62,46,157,neutral
CN.QH,78,83,70,231,neutral
CN.SA,561,476,749,1786,negative
CN.SD,1725,1234,2017,4976,negative
CN.SH,269,422,618,1309,negative
CN.SX,352,316,380,1048,negative
CN.SC,979,912,1494,3385,negative
CN.TJ,298,245,345,888,negative
CN.XJ,218,207,194,619,positive
CN.XZ,40,26,37,103,positive
CN.YN,421,373,712,1506,negative
CN.ZJ,800,1106,1755,3661,negative
