HASC_1,positive,neutral,negative,total_comments,final_sentiment
US.AL,71,60,40,171,positive
US.AK,6,9,5,20,neutral
US.AZ,125,170,81,376,neutral
US.AR,62,43,23,128,positive
US.CA,952,1327,1192,3471,neutral
US.CO,192,194,155,541,neutral
US.CT,81,94,99,274,negative
US.DE,14,8,4,26,positive
US.DC,10,13,26,49,negative
US.FL,333,405,352,1090,neutral
US.GA,280,310,239,829,neutral
US.HI,34,35,53,122,negative
US.ID,24,14,16,54,positive
US.IL,154,187,121,462,neutral
US.IN,82,88,46,216,neutral
US.IA,75,62,28,165,positive
US.KS,32,34,18,84,neutral
US.KY,51,48,14,113,positive
US.LA,24,47,28,99,neutral
US.ME,89,106,30,225,neutral
US.MD,126,177,119,422,neutral
US.MA,219,241,180,640,neutral
US.MI,153,181,103,437,neutral
US.MN,120,140,71,331,neutral
US.MS,25,30,14,69,neutral
US.MO,74,95,37,206,neutral
US.MT,26,12,6,44,positive
US.NE,38,42,29,109,neutral
US.NV,61,71,56,188,neutral
US.NH,45,56,25,126,neutral
US.NJ,116,139,88,343,neutral
US.NM,61,54,26,141,positive
US.NY,439,524,308,1271,neutral
US.NC,194,211,128,533,neutral
US.ND,23,17,5,45,positive
US.OH,156,152,88,396,positive
US.OK,116,75,55,246,positive
US.OR,192,246,111,549,neutral
US.PA,189,244,134,567,neutral
US.RI,21,25,20,66,neutral
US.SC,86,77,71,234,positive
US.SD,17,13,5,35,positive
US.TN,88,100,52,240,neutral
US.TX,272,312,199,783,neutral
US.UT,148,197,80,425,neutral
US.VT,57,52,41,150,positive
US.VA,137,164,121,422,neutral
US.WA,303,317,206,826,neutral
US.WV,31,23,15,69,positive
US.WI,105,106,48,259,neutral
US.WY,19,20,5,44,neutral
