Year,Positive,Neutral,Negative,Total,Positive%,Negative%
2015,293,948,504,1745,16.8,28.9
2016,357,1100,556,2013,17.7,27.6
2017,561,1708,933,3202,17.5,29.1
2018,874,2316,1214,4404,19.8,27.6
2019,1233,3320,1826,6379,19.3,28.6
2020,1011,2300,1278,4589,22.0,27.8
2021,2481,5349,2815,10645,23.3,26.4
2022,4599,9422,5169,19190,24.0,26.9
2023,7426,13884,8447,29757,25.0,28.4
2024,10545,18559,11725,40829,25.8,28.7
