Year,Positive,Neutral,Negative,Total,Positive%,Negative%
2015,692,57,20,769,90.0,2.6
2016,826,66,17,909,90.9,1.9
2017,1197,99,16,1312,91.2,1.2
2018,1451,128,21,1600,90.7,1.3
2019,2134,214,33,2381,89.6,1.4
2020,1794,180,35,2009,89.3,1.7
2021,3962,409,65,4436,89.3,1.5
2022,6589,656,107,7352,89.6,1.5
2023,10018,911,147,11076,90.4,1.3
2024,14457,1383,194,16034,90.2,1.2
