Year,Positive,Neutral,Negative,Total,Positive%,Negative%
2015,0,0,1,1,0.0,100.0
2016,1,0,11,12,8.3,91.7
2017,10,6,161,177,5.6,91.0
2018,0,0,36,36,0.0,100.0
2019,7,7,122,136,5.1,89.7
2020,13,28,295,336,3.9,87.8
2021,23,61,738,822,2.8,89.8
2022,41,64,1017,1122,3.7,90.6
2023,89,139,3192,3420,2.6,93.3
2024,97,157,4184,4438,2.2,94.3
