Year,Positive,Neutral,Negative,Total,Positive%,Negative%
2015,0,0,0,0,0.0,0.0
2016,5,0,2,7,71.4,28.6
2017,64,9,44,117,54.7,37.6
2018,22,9,5,36,61.1,13.9
2019,144,30,26,200,72.0,13.0
2020,463,106,53,622,74.4,8.5
2021,695,213,185,1093,63.6,16.9
2022,930,180,376,1486,62.6,25.3
2023,4149,686,1425,6260,66.3,22.8
2024,4971,914,1984,7869,63.2,25.2
