HASC_1,topic_21,topic_22,topic_23,topic_24,topic_18,topic_20,topic_19,topic_17,topic_16,topic_15
US.NJ,Location and Availability,Charging Functionality and Reliability,Charging Functionality and Reliability,Charging Functionality and Reliability,Location and Availability,Location and Availability,Location and Availability,Location and Availability,Location and Availability,Location and Availability
US.NM,Location and Availability,Location and Availability,Charging Functionality and Reliability,Charging Functionality and Reliability,Environment and Service Experience,Environment and Service Experience,Environment and Service Experience,Location and Availability,Environment and Service Experience,Environment and Service Experience
US.NY,Charging Functionality and Reliability,Charging Functionality and Reliability,Charging Functionality and Reliability,Charging Functionality and Reliability,Location and Availability,Location and Availability,Location and Availability,Location and Availability,Location and Availability,Location and Availability
US.NC,Charging Functionality and Reliability,Charging Functionality and Reliability,Charging Functionality and Reliability,Charging Functionality and Reliability,Location and Availability,Charging Functionality and Reliability,Location and Availability,Location and Availability,Location and Availability,Environment and Service Experience
US.ND,Charging Performance,Location and Availability,Charging Functionality and Reliability,Charging Functionality and Reliability,Environment and Service Experience,Location and Availability,Location and Availability,Location and Availability,Charging Functionality and Reliability,
US.OH,Charging Functionality and Reliability,Charging Functionality and Reliability,Charging Functionality and Reliability,Charging Functionality and Reliability,Location and Availability,Charging Functionality and Reliability,Location and Availability,Location and Availability,Location and Availability,Location and Availability
US.OK,Charging Functionality and Reliability,Charging Functionality and Reliability,Charging Functionality and Reliability,Charging Functionality and Reliability,Location and Availability,Charging Functionality and Reliability,Location and Availability,Environment and Service Experience,Environment and Service Experience,Environment and Service Experience
US.OR,Charging Functionality and Reliability,Charging Functionality and Reliability,Charging Functionality and Reliability,Charging Functionality and Reliability,Charging Functionality and Reliability,Location and Availability,Location and Availability,Charging Functionality and Reliability,Charging Functionality and Reliability,Location and Availability
US.PA,Location and Availability,Charging Functionality and Reliability,Charging Functionality and Reliability,Charging Functionality and Reliability,Location and Availability,Location and Availability,Location and Availability,Location and Availability,Location and Availability,Location and Availability
US.RI,Charging Functionality and Reliability,Charging Functionality and Reliability,Charging Functionality and Reliability,Charging Functionality and Reliability,Location and Availability,Location and Availability,Location and Availability,Location and Availability,Location and Availability,Location and Availability
US.SC,Charging Functionality and Reliability,Charging Functionality and Reliability,Charging Functionality and Reliability,Charging Functionality and Reliability,Location and Availability,Charging Functionality and Reliability,Location and Availability,Environment and Service Experience,Charging Functionality and Reliability,Location and Availability
US.SD,Location and Availability,Location and Availability,Location and Availability,Charging Functionality and Reliability,Location and Availability,Location and Availability,Location and Availability,Charging Performance,Location and Availability,Environment and Service Experience
US.TN,Location and Availability,Charging Functionality and Reliability,Charging Functionality and Reliability,Charging Functionality and Reliability,Location and Availability,Location and Availability,Location and Availability,Charging Functionality and Reliability,Location and Availability,Charging Functionality and Reliability
US.TX,Charging Functionality and Reliability,Charging Functionality and Reliability,Charging Functionality and Reliability,Charging Functionality and Reliability,Location and Availability,Charging Functionality and Reliability,Location and Availability,Location and Availability,Location and Availability,Location and Availability
US.UT,Location and Availability,Charging Functionality and Reliability,Charging Functionality and Reliability,Charging Functionality and Reliability,Location and Availability,Location and Availability,Location and Availability,Environment and Service Experience,Charging Functionality and Reliability,Charging Functionality and Reliability
US.VT,Charging Functionality and Reliability,Charging Functionality and Reliability,Charging Functionality and Reliability,Charging Functionality and Reliability,Location and Availability,Charging Functionality and Reliability,Charging Functionality and Reliability,Charging Functionality and Reliability,Charging Functionality and Reliability,Location and Availability
US.VA,Charging Functionality and Reliability,Charging Functionality and Reliability,Charging Functionality and Reliability,Charging Functionality and Reliability,Location and Availability,Charging Functionality and Reliability,Location and Availability,Location and Availability,Charging Functionality and Reliability,Location and Availability
US.WA,Charging Functionality and Reliability,Charging Functionality and Reliability,Charging Functionality and Reliability,Charging Functionality and Reliability,Charging Functionality and Reliability,Charging Functionality and Reliability,Charging Functionality and Reliability,Location and Availability,Location and Availability,Location and Availability
US.WV,Location and Availability,Location and Availability,Location and Availability,Charging Functionality and Reliability,Location and Availability,Charging Functionality and Reliability,Environment and Service Experience,Environment and Service Experience,Environment and Service Experience,Environment and Service Experience
US.WI,Location and Availability,Location and Availability,Charging Functionality and Reliability,Charging Functionality and Reliability,Location and Availability,Location and Availability,Location and Availability,Location and Availability,Location and Availability,Location and Availability
US.WY,Location and Availability,Location and Availability,Location and Availability,Charging Functionality and Reliability,Location and Availability,Location and Availability,Environment and Service Experience,Location and Availability,Location and Availability,Charging Functionality and Reliability
