HASC_1,gini
US.AL,0.9960469347099925
US.AK,0.9966543574224819
US.AZ,0.9915615061918894
US.AR,0.9947713136672973
US.CA,0.9797764015588375
US.CO,0.9842410319741222
US.CT,0.9834700265238362
US.DE,0.988125291135576
US.DC,0.9524238788804342
US.FL,0.9904931232438865
US.GA,0.9916466331348739
US.HI,0.9902652585229208
US.ID,0.9937651977680697
US.IL,0.9901495103541326
US.IN,0.9926433640141641
US.IA,0.9891211090989374
US.KS,0.9920025692795807
US.KY,0.9952786575407672
US.LA,0.9951967873958626
US.ME,0.9882285715527617
US.MD,0.9807867235031681
US.MA,0.9782429874069878
US.MI,0.9919507369204829
US.MN,0.9885910156422293
US.MS,0.9974257553680034
US.MO,0.9924024396929247
US.MT,0.9899239485914056
US.NE,0.9910106407478452
US.NV,0.9907196510921825
US.NH,0.9945531468442146
US.NJ,0.9870824632097464
US.NM,0.9891444587268712
US.NY,0.9866882292059965
US.NC,0.991656475722996
US.ND,0.9926161834451018
US.OH,0.9890673512621865
US.OK,0.9953458316269375
US.OR,0.9786050398665739
US.PA,0.9905003709563076
US.RI,0.9820706039144281
US.SC,0.9954769130585328
US.SD,0.994003701210022
US.TN,0.9946899221223944
US.TX,0.9940276681413276
US.UT,0.9833417339798283
US.VT,0.9771650251963281
US.VA,0.9925099299712614
US.WA,0.9822834122874965
US.WV,0.9963585661875235
US.WI,0.9935285736432834
US.WY,0.9878007144224449
