HASC_1,gini
CN.AH,0.9901803150690721
CN.BJ,0.9437819569727629
CN.CQ,0.9801569725841348
CN.FJ,0.9779561257049245
CN.GS,0.9919541981352035
CN.GD,0.9516739552132356
CN.GX,0.9845321049971114
CN.GZ,0.988270131806236
CN.HA,0.9741381914106034
CN.HB,0.9899560093605024
CN.HL,0.993957039206586
CN.HE,0.9850892089872089
CN.HU,0.985466170113934
CN.HN,0.989411882423108
CN.JS,0.9808183138219404
CN.JX,0.990559416244569
CN.JL,0.9900847627816955
CN.LN,0.9853794997865027
CN.NM,0.9925458725429911
CN.NX,0.9895228574525065
CN.QH,0.9931966423988342
CN.SA,0.9851044502588782
CN.SD,0.9843476157120422
CN.SH,0.9437714472188422
CN.SX,0.9875223842892634
CN.SC,0.9832634543695467
CN.TJ,0.9694207859039307
CN.XJ,0.9940772650121641
CN.XZ,0.996096052063836
CN.YN,0.9881240215311186
CN.ZJ,0.9744832133927719
