HASC_1,positive,neutral,negative,total_comments,final_sentiment
US.AL,102,96,49,247,positive
US.AK,5,5,4,14,positive
US.AZ,159,237,148,544,neutral
US.AR,52,65,16,133,neutral
US.CA,1222,1941,1488,4651,neutral
US.CO,212,285,233,730,neutral
US.CT,143,171,171,485,negative
US.DE,3,6,9,18,negative
US.DC,32,77,62,171,neutral
US.FL,428,463,345,1236,neutral
US.GA,319,355,246,920,neutral
US.HI,52,124,88,264,neutral
US.ID,28,20,8,56,positive
US.IL,199,261,165,625,neutral
US.IN,99,94,72,265,positive
US.IA,72,81,28,181,neutral
US.KS,35,45,10,90,neutral
US.KY,59,56,31,146,positive
US.LA,39,49,24,112,neutral
US.ME,98,129,38,265,neutral
US.MD,160,266,167,593,neutral
US.MA,249,394,257,900,neutral
US.MI,157,227,115,499,neutral
US.MN,128,204,72,404,neutral
US.MS,38,44,15,97,neutral
US.MO,74,91,35,200,neutral
US.MT,20,18,4,42,positive
US.NE,34,35,13,82,neutral
US.NV,71,110,49,230,neutral
US.NH,41,39,25,105,positive
US.NJ,129,138,114,381,neutral
US.NM,82,54,23,159,positive
US.NY,546,638,396,1580,neutral
US.NC,226,340,167,733,neutral
US.ND,20,18,6,44,positive
US.OH,160,181,112,453,neutral
US.OK,87,98,45,230,neutral
US.OR,192,204,105,501,neutral
US.PA,266,269,149,684,neutral
US.RI,36,57,34,127,neutral
US.SC,76,92,69,237,neutral
US.SD,15,20,1,36,neutral
US.TN,119,134,70,323,neutral
US.TX,317,433,258,1008,neutral
US.UT,121,165,84,370,neutral
US.VT,64,80,39,183,neutral
US.VA,172,277,129,578,neutral
US.WA,381,421,229,1031,neutral
US.WV,29,26,4,59,positive
US.WI,113,100,52,265,positive
US.WY,21,16,3,40,positive
