HASC_1,positive,neutral,negative,total_comments,final_sentiment
US.AL,33,42,11,86,neutral
US.AK,2,1,1,4,positive
US.AZ,105,115,93,313,neutral
US.AR,12,9,7,28,positive
US.CA,769,1271,871,2911,neutral
US.CO,117,150,98,365,neutral
US.CT,60,63,59,182,neutral
US.DE,0,3,2,5,neutral
US.DC,20,18,15,53,positive
US.FL,191,215,167,573,neutral
US.GA,149,187,108,444,neutral
US.HI,18,55,51,124,neutral
US.ID,8,11,4,23,neutral
US.IL,82,110,75,267,neutral
US.IN,44,48,26,118,neutral
US.IA,24,27,6,57,neutral
US.KS,28,30,9,67,neutral
US.KY,21,24,6,51,neutral
US.LA,19,21,10,50,neutral
US.ME,62,50,15,127,positive
US.MD,92,139,67,298,neutral
US.MA,128,231,88,447,neutral
US.MI,66,84,67,217,neutral
US.MN,40,50,32,122,neutral
US.MS,9,8,3,20,positive
US.MO,67,56,28,151,positive
US.MT,9,5,4,18,positive
US.NE,20,26,8,54,neutral
US.NV,22,31,14,67,neutral
US.NH,14,20,4,38,neutral
US.NJ,57,63,50,170,neutral
US.NM,21,17,14,52,positive
US.NY,159,208,108,475,neutral
US.NC,97,125,43,265,neutral
US.ND,0,1,0,1,neutral
US.OH,51,86,44,181,neutral
US.OK,26,26,8,60,positive
US.OR,102,86,51,239,positive
US.PA,107,88,78,273,positive
US.RI,17,20,9,46,neutral
US.SC,31,31,14,76,positive
US.SD,4,12,2,18,neutral
US.TN,59,44,43,146,positive
US.TX,170,211,159,540,neutral
US.UT,38,20,13,71,positive
US.VT,39,42,34,115,neutral
US.VA,74,83,57,214,neutral
US.WA,146,191,104,441,neutral
US.WV,13,14,4,31,neutral
US.WI,37,55,35,127,neutral
US.WY,6,9,0,15,neutral
