HASC_1,positive,neutral,negative,total_comments,final_sentiment
US.AL,54,56,15,125,neutral
US.AK,4,3,2,9,positive
US.AZ,101,163,100,364,neutral
US.AR,28,32,15,75,neutral
US.CA,873,1474,1067,3414,neutral
US.CO,118,185,124,427,neutral
US.CT,97,127,87,311,neutral
US.DE,7,4,10,21,negative
US.DC,26,30,27,83,neutral
US.FL,265,359,200,824,neutral
US.GA,176,187,135,498,neutral
US.HI,29,33,51,113,negative
US.ID,10,14,7,31,neutral
US.IL,146,192,94,432,neutral
US.IN,78,62,43,183,positive
US.IA,40,60,28,128,neutral
US.KS,26,23,14,63,positive
US.KY,27,42,11,80,neutral
US.LA,20,24,14,58,neutral
US.ME,64,98,6,168,neutral
US.MD,122,223,98,443,neutral
US.MA,155,297,138,590,neutral
US.MI,103,165,89,357,neutral
US.MN,70,92,46,208,neutral
US.MS,17,20,6,43,neutral
US.MO,55,80,40,175,neutral
US.MT,9,9,5,23,positive
US.NE,20,40,9,69,neutral
US.NV,44,44,28,116,positive
US.NH,20,31,11,62,neutral
US.NJ,114,131,91,336,neutral
US.NM,38,29,22,89,positive
US.NY,316,371,228,915,neutral
US.NC,138,244,111,493,neutral
US.ND,4,4,2,10,positive
US.OH,86,150,78,314,neutral
US.OK,51,69,24,144,neutral
US.OR,126,172,59,357,neutral
US.PA,122,151,113,386,neutral
US.RI,28,38,22,88,neutral
US.SC,51,47,28,126,positive
US.SD,6,8,0,14,neutral
US.TN,84,65,57,206,positive
US.TX,233,300,167,700,neutral
US.UT,59,65,41,165,neutral
US.VT,54,48,19,121,positive
US.VA,136,153,100,389,neutral
US.WA,223,239,140,602,neutral
US.WV,18,20,8,46,neutral
US.WI,61,76,41,178,neutral
US.WY,11,9,4,24,positive
