HASC_1,positive,neutral,negative,total_comments,final_sentiment
US.AL,164,197,102,463,neutral
US.AK,39,31,29,99,positive
US.AZ,369,378,237,984,neutral
US.AR,104,113,61,278,neutral
US.CA,1892,2476,2542,6910,negative
US.CO,459,549,395,1403,neutral
US.CT,205,259,239,703,neutral
US.DE,62,35,27,124,positive
US.DC,40,52,47,139,neutral
US.FL,848,888,839,2575,neutral
US.GA,524,591,431,1546,neutral
US.HI,94,119,157,370,negative
US.ID,74,78,40,192,neutral
US.IL,341,419,282,1042,neutral
US.IN,188,214,143,545,neutral
US.IA,150,158,72,380,neutral
US.KS,124,117,65,306,positive
US.KY,124,138,73,335,neutral
US.LA,65,49,54,168,positive
US.ME,179,208,87,474,neutral
US.MD,363,463,323,1149,neutral
US.MA,406,543,415,1364,neutral
US.MI,464,503,312,1279,neutral
US.MN,268,310,161,739,neutral
US.MS,75,83,40,198,neutral
US.MO,149,173,113,435,neutral
US.MT,76,62,34,172,positive
US.NE,93,120,51,264,neutral
US.NV,151,212,129,492,neutral
US.NH,79,94,51,224,neutral
US.NJ,284,310,252,846,neutral
US.NM,174,193,93,460,neutral
US.NY,963,972,764,2699,neutral
US.NC,564,529,420,1513,positive
US.ND,41,39,10,90,positive
US.OH,469,484,296,1249,neutral
US.OK,190,162,137,489,positive
US.OR,413,412,237,1062,positive
US.PA,507,532,304,1343,neutral
US.RI,51,58,53,162,neutral
US.SC,205,174,159,538,positive
US.SD,43,51,24,118,neutral
US.TN,242,292,198,732,neutral
US.TX,640,684,589,1913,neutral
US.UT,339,351,213,903,neutral
US.VT,128,97,78,303,positive
US.VA,300,366,282,948,neutral
US.WA,602,585,454,1641,positive
US.WV,54,63,24,141,neutral
US.WI,263,287,128,678,neutral
US.WY,61,51,14,126,positive
