HASC_1,positive,neutral,negative,total_comments,final_sentiment
US.AL,763,710,437,1910,positive
US.AK,291,131,129,551,positive
US.AZ,1310,1140,1153,3603,positive
US.AR,598,373,275,1246,positive
US.CA,9573,9795,12733,32101,negative
US.CO,2468,1953,1846,6267,positive
US.CT,880,736,855,2471,positive
US.DE,306,249,271,826,positive
US.DC,138,133,169,440,negative
US.FL,3221,2835,3472,9528,negative
US.GA,2121,1795,1548,5464,positive
US.HI,254,310,622,1186,negative
US.ID,610,341,308,1259,positive
US.IL,2112,1728,1583,5423,positive
US.IN,1358,1009,917,3284,positive
US.IA,1048,634,633,2315,positive
US.KS,762,527,459,1748,positive
US.KY,765,668,446,1879,positive
US.LA,466,387,357,1210,positive
US.ME,659,500,440,1599,positive
US.MD,1768,1628,2183,5579,negative
US.MA,1786,1589,1724,5099,positive
US.MI,2971,2229,1798,6998,positive
US.MN,2150,1695,1727,5572,positive
US.MS,399,296,203,898,positive
US.MO,1349,934,854,3137,positive
US.MT,516,299,220,1035,positive
US.NE,510,297,211,1018,positive
US.NV,778,604,805,2187,negative
US.NH,535,370,374,1279,positive
US.NJ,1403,1319,1352,4074,positive
US.NM,990,854,533,2377,positive
US.NY,3597,2758,3082,9437,positive
US.NC,2666,1928,1769,6363,positive
US.ND,261,155,104,520,positive
US.OH,2380,1791,1668,5839,positive
US.OK,1135,797,834,2766,positive
US.OR,2000,1595,1545,5140,positive
US.PA,2079,1743,1814,5636,positive
US.RI,139,127,140,406,negative
US.SC,1094,881,719,2694,positive
US.SD,286,189,164,639,positive
US.TN,1118,914,733,2765,positive
US.TX,3987,3313,3497,10797,positive
US.UT,1117,774,786,2677,positive
US.VT,757,575,610,1942,positive
US.VA,1903,1695,1793,5391,positive
US.WA,3365,2741,3286,9392,positive
US.WV,434,335,243,1012,positive
US.WI,1944,1115,883,3942,positive
US.WY,413,237,163,813,positive
