HASC_1,positive,neutral,negative,total_comments,final_sentiment
US.AL,17,9,7,33,positive
US.AK,0,0,0,0,no_data
US.AZ,67,111,53,231,neutral
US.AR,4,1,2,7,positive
US.CA,468,733,490,1691,neutral
US.CO,28,37,26,91,neutral
US.CT,14,25,15,54,neutral
US.DE,2,1,5,8,negative
US.DC,8,10,12,30,negative
US.FL,92,85,103,280,negative
US.GA,116,128,97,341,neutral
US.HI,12,34,30,76,neutral
US.ID,8,10,3,21,neutral
US.IL,41,46,51,138,negative
US.IN,9,25,15,49,neutral
US.IA,13,22,4,39,neutral
US.KS,6,10,4,20,neutral
US.KY,14,13,5,32,positive
US.LA,6,8,3,17,neutral
US.ME,14,23,8,45,neutral
US.MD,42,80,45,167,neutral
US.MA,56,77,34,167,neutral
US.MI,39,49,25,113,neutral
US.MN,23,33,12,68,neutral
US.MS,6,6,0,12,positive
US.MO,31,47,15,93,neutral
US.MT,5,7,0,12,neutral
US.NE,5,6,5,16,neutral
US.NV,11,18,13,42,neutral
US.NH,8,10,7,25,neutral
US.NJ,41,59,23,123,neutral
US.NM,5,9,1,15,neutral
US.NY,91,117,56,264,neutral
US.NC,43,31,17,91,positive
US.ND,0,0,0,0,no_data
US.OH,28,54,20,102,neutral
US.OK,12,4,1,17,positive
US.OR,34,48,21,103,neutral
US.PA,45,62,17,124,neutral
US.RI,4,6,7,17,negative
US.SC,16,18,7,41,neutral
US.SD,6,7,2,15,neutral
US.TN,41,21,35,97,positive
US.TX,69,93,81,243,neutral
US.UT,12,15,18,45,negative
US.VT,9,15,7,31,neutral
US.VA,50,62,19,131,neutral
US.WA,59,84,44,187,neutral
US.WV,9,5,0,14,positive
US.WI,25,30,33,88,negative
US.WY,4,8,6,18,neutral
